id	vernacularName	source	language	countryCode	sex	lifeStage	isPreferredName
1340484	Yellowish Cuckoo-bumble Bee	Checklist of the Wild Bees (Apoidea: Anthophila) of Vermont, USA	eng	US	null	null	true
1340487	Fernald Cuckoo Bumble Bee	Checklist of Vermont Species	eng	US	null	null	null
1341976	Drone-bee	Checklist of Vermont Species	eng	US	null	null	false
1342324	Carpenter Bee	Checklist of Vermont Species	eng	US	null	null	null
7014	Pigmy Moths	TAXREF	eng	GB	null	null	null
1280977	Norton's Giant Ichneumonid Wasp	Checklist of Vermont Species	eng	US	null	null	true
1280992	Black Giant Ichneumonid Wasp	Checklist of Vermont Species	eng	US	null	null	true
1338661	Eight-toothed Cuckoo Leaf-cutter Bee	Checklist of Vermont Species	eng	US	null	null	true
1338786	Red-footed Sharptail	Checklist of Vermont Species	eng	US	null	null	null
1340347	Red-belted Bumble Bee	Checklist of Vermont Species	eng	US	null	null	null
1340472	Half-black Bumble Bee	Martha's Vineyard species checklist	eng	null	null	null	null
1336906	Lesser Masons	Martha's Vineyard species checklist	eng	null	null	null	false
1337664	Mason Bees	Checklist of Vermont Species	eng	US	null	null	true
7017	Anglewings	Checklist of Vermont Species	eng	US	null	null	null
7017	Brush Foots	TAXREF	eng	GB	null	null	null
215	Sea Lillies	Checklist of Vermont Species	eng	US	null	null	null
225	Snail	Martha's Vineyard species checklist	eng	null	null	null	null
353	Seed Shrimps	World Register of Introduced Marine Species (WRiMS)	eng	null	null	null	true
359	Herbivore	United Kingdom Species Inventory (UKSI)	eng	null	null	null	false
7947184	Diatoms	Checklist of Vermont Species	eng	US	null	null	null
8176985	Diatom Sp.	Checklist of Vermont Species	eng	US	null	null	false
2480517	Hawk	Checklist of Vermont Species	eng	US	null	null	null
2481126	Ross' Gulls	Martha's Vineyard species checklist	eng	null	null	null	null
1457	Invertebrates (bees & Wasps)	Checklist of Vermont Species	eng	US	null	null	false
1459	Rodent	Checklist of Vermont Species	eng	US	null	null	null
1470	Beetles	Martha's Vineyard species checklist	eng	null	null	null	null
1496	Spiders	Checklist of Vermont Species	eng	US	null	null	null
1501	Lacewing	Checklist of Vermont Species	eng	US	null	null	null
1458	Grasshoppers, Crickets, And Katydids	Checklist of Vermont Species	eng	US	null	null	true
1109	Mites	TAXREF	eng	GB	null	null	null
1456	Slug	Checklist of Vermont Species	eng	US	null	null	null
2291251	Melantho Snails	Checklist of Vermont Species	eng	US	null	null	true
2291333	Mimic Lymnaea	Checklist of Vermont Species	eng	US	null	null	true
2454456	North American Water Snakes	Checklist of Vermont Species	eng	US	null	null	null
2457825	Ribbon Snakes	Checklist of Vermont Species	eng	US	null	null	null
2458586	Green Snakes	Checklist of Vermont Species	eng	US	null	null	null
9213370	Brown-bellied Snakes	Martha's Vineyard species checklist	eng	null	null	null	null
9391215	Milk Snakes	Checklist of Vermont Species	eng	US	null	null	null
2665	Pleurocerid Snails	Checklist of Vermont Species	eng	US	null	null	true
2851	Ramshorn Snails	TAXREF	eng	GB	null	null	null
2852	Pond Snails	TAXREF	eng	GB	null	null	null
2853	River Limpets	World Register of Marine Species	eng	null	null	null	false
6798	Tadpole Snails	Checklist of Vermont Species	eng	US	null	null	false
131	Amphibians	Martha's Vineyard species checklist	eng	null	null	null	null
7073563	A Chrysophyte	Checklist of Vermont Species	eng	US	null	null	false
9049014	Dinoflagellates	Checklist of Vermont Species	eng	US	null	null	false
9273948	Trilobite	Checklist of Vermont Species	eng	US	null	null	null
136	Squids	Checklist of Vermont Species	eng	US	null	null	null
205	Hydromedusae	Checklist of Vermont Species	eng	US	null	null	null
105	Sponges	Checklist of Vermont Species	eng	US	null	null	null
2334066	Miller's Thumbs	Checklist of Vermont Species	eng	US	null	null	null
2391100	Largemouth Basses	Checklist of Vermont Species	eng	US	null	null	null
2394482	Common Sunfishes	Checklist of Vermont Species	eng	US	null	null	null
8513	Sunfishes	Martha's Vineyard species checklist	eng	null	null	null	null
6364	Land Planarians	Checklist of Vermont Species	eng	US	null	null	true
94	Chitridiomycetes	Checklist of Vermont Species	eng	US	null	null	null
95	Ascomycetes	Checklist of Vermont Species	eng	US	null	null	null
35	Non-vascular Land Plants	Martha's Vineyard species checklist	eng	null	null	null	null
5	Fungi Including Lichens	Martha's Vineyard species checklist	eng	null	null	null	true
6	Plants	Checklist of Vermont Species	eng	US	null	null	null
1004	Silverfishes	Martha's Vineyard species checklist	eng	null	null	null	true
1014383	Snake Millepede	Catalogue of Life	eng	null	null	null	null
1017419	Garden Millipede	Martha's Vineyard species checklist	eng	null	null	null	null
1027554	Iron Worm	Checklist of Vermont Species	eng	US	null	null	null
1031435	Tree Cattle	Checklist of Vermont Species	eng	US	null	null	true
7774442	Monogenean Flukes	World Register of Introduced Marine Species (WRiMS)	eng	null	null	null	true
1031692	F-winged Barklouse	Checklist of Vermont Species	eng	US	null	null	true
1032750	Sheep Biting Louse	Checklist of Vermont Species	eng	US	null	null	false
1033686	Fastidious Riffle Beetle	Checklist of Vermont Species	eng	US	null	null	true
1036893	Digger Slope-rumped Beetle	Checklist of Vermont Species	eng	US	null	null	true
1034606	Sapwood Timberworm	Checklist of Vermont Species	eng	US	null	null	null
1034607	Sapwood Timberworm	Integrated Taxonomic Information System (ITIS)	eng	null	null	null	null
1034720	Bronzed Tiger Beetle	Checklist of Vermont Species	eng	US	null	null	null
1034736	Cobblestone Tiger Beetle	Checklist of Vermont Species	eng	US	null	null	null
1034748	Cow Path Tiger Beetle	Checklist of Vermont Species	eng	US	null	null	null
1035185	Sun Harp Ground Beetle	Checklist of Vermont Species	eng	US	null	null	null
1035195	Familiar Harp Round Beetle	Checklist of Vermont Species	eng	US	null	null	null
7016	Prominents	Checklist of Vermont Species	eng	US	null	null	null
8079058	Five-finger	Checklist of Vermont Species	eng	US	null	null	false
2334781	Perch	Martha's Vineyard species checklist	eng	null	null	null	null
7017	Brush-footed Butterflies	Checklist of Vermont Species	eng	US	null	null	null
7017	Nymphalids	Checklist of Vermont Species	eng	US	null	null	true
1430081	Baskettails	Checklist of Vermont Species	eng	US	null	null	true
7966	Net-spinning Caddisfly	Checklist of Vermont Species	eng	US	null	null	null
1611606	Bee-mimic Robber Flies	Checklist of Vermont Species	eng	US	null	null	true
7967	Micro-caddisflies	Checklist of Vermont Species	eng	US	null	null	null
1911078	Ringlets	Checklist of Vermont Species	eng	US	null	null	null
216	Insect	Martha's Vineyard species checklist	eng	null	null	null	null
225	Slugs	Checklist of Vermont Species	eng	US	null	null	null
353	Mussel Shrimp	Checklist of Vermont Species	eng	US	null	null	false
2480517	Buteos	Martha's Vineyard species checklist	eng	null	null	null	true
2481126	Gulls	TAXREF	eng	GB	null	null	null
4681448	Dogwood Sawflies	Checklist of Vermont Species	eng	US	null	null	true
4782561	Green Stink Bugs	Checklist of Vermont Species	eng	US	null	null	true
4924408	Melilot, Sweet-clover	Martha's Vineyard species checklist	eng	null	null	null	null
5219142	Dog	United Kingdom Species Inventory (UKSI)	eng	null	null	null	false
5230809	Vermivoras	Martha's Vineyard species checklist	eng	null	null	null	null
5275011	Bracken Ferns	Checklist of Vermont Species	eng	US	null	null	null
5361975	Stonecrops	TAXREF	eng	GB	null	null	null
5388868	Goldenrods	TAXREF	eng	GB	null	null	null
5953400	Fishscale Lichens	Checklist of Vermont Species	eng	US	null	null	true
5955261	Bonnets	TAXREF	eng	GB	null	null	null
6005951	Scale Protruding	Checklist of Vermont Species	eng	US	null	null	true
6390748	Knotweed, Smartweed	Checklist of Vermont Species	eng	US	null	null	null
1501	Spongillaflies	Checklist of Vermont Species	eng	US	null	null	null
1458	Grasshoppers	Checklist of Vermont Species	eng	US	null	null	null
1244656	Lineated Bark Beetle	Checklist of Vermont Species	eng	US	null	null	true
1247449	Horsetail Weevil	TAXREF	eng	GB	null	null	null
1248772	Balsam Shootboring Sawfly	Integrated Taxonomic Information System (ITIS)	eng	null	null	null	null
1248774	Pine False Webworm	TAXREF	eng	GB	null	null	null
1249666	Dusky Birch Sawfly	Checklist of Vermont Species	eng	US	null	null	null
1249668	European Alder Leafminer	TAXREF	eng	GB	null	null	null
1249669	Birch Leafminer	TAXREF	eng	GB	null	null	null
1249682	Pear Sawfly	TAXREF	eng	GB	null	null	null
1409474	Walkingstick	Checklist of Vermont Species	eng	US	null	null	null
1419435	Plague Flea	TAXREF	eng	GB	null	null	null
1419845	European Earwig	Checklist of Vermont Species	eng	US	null	null	null
1419851	Lesser Earwig	TAXREF	eng	GB	null	null	null
1421054	Jumping Bristletail	Checklist of Vermont Species	eng	US	null	null	null
